----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arguments :- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
input : D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resampling : under_sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifier : RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samplingType : leastConfidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testsize : 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manualAnnotationsCount : 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxIterations : 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comments : Typo3-RF_LC-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of  Label Classification  : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
999,999,999,562,1998,999,"[0.7175     0.7125     0.71       0.73433584 0.72180451 0.7375
 0.725      0.695      0.70175439 0.69674185 0.7025     0.695
 0.7075     0.72932331 0.6716792 ]","[[223, 108], [8, 323]]",17,"[0.7425     0.7075     0.76       0.71679198 0.71929825 0.7525
 0.71       0.6975     0.69674185 0.72431078 0.6875     0.725
 0.72       0.72180451 0.74185464]","[[179, 102], [11, 270]]",0.83,0.73,0.96,281,0.79,0.76,0.94,0.64,281,0.83,0.8,0.85,0.75,0.98,331,662,2660,1998,0.82,0.79,0.97,0.68,331,0.86,0.82
1049,1049,1049,462,2098,1049,"[0.73809524 0.72142857 0.71666667 0.73031026 0.72553699 0.7047619
 0.71428571 0.70238095 0.7326969  0.71599045 0.73809524 0.68571429
 0.71190476 0.70644391 0.71121718]","[[198, 83], [6, 275]]",18,"[0.73095238 0.72619048 0.71904762 0.74224344 0.7398568  0.70952381
 0.71904762 0.73095238 0.7326969  0.71837709 0.73095238 0.71428571
 0.75       0.72315036 0.71599045]","[[155, 76], [7, 224]]",0.84,0.74,0.96,231,0.81,0.78,0.94,0.66,231,0.84,0.81,0.86,0.77,0.98,281,562,2660,2098,0.84,0.82,0.97,0.71,281,0.87,0.85
1099,1099,1099,362,2198,1099,"[0.725      0.75       0.71590909 0.72892938 0.738041   0.72954545
 0.70909091 0.71818182 0.68792711 0.72437358 0.73181818 0.74318182
 0.69545455 0.73348519 0.71070615]","[[177, 54], [4, 227]]",19,"[0.71818182 0.72954545 0.73409091 0.74259681 0.76082005 0.73863636
 0.76363636 0.74772727 0.74031891 0.74487472 0.76363636 0.7
 0.76590909 0.7357631  0.74259681]","[[115, 66], [5, 176]]",0.84,0.74,0.97,181,0.81,0.78,0.96,0.66,181,0.85,0.81,0.89,0.81,0.98,231,462,2660,2198,0.87,0.86,0.98,0.77,231,0.89,0.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Active Learning,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
